question,intent,studentIntent,count,# correct,
when will assignment 4 be released,0,0,1,1,
when will assignment 1 be released,1,1,2,2,
when can we begin working on project 1,2,2,3,3,
when can we start on assignment 2,3,3,4,4,
what week is the midterm,4,4,5,5,
when can i download project 2,5,5,6,6,
what day does assignment 3 start,6,6,7,7,
when can we begin working on project 3,7,7,8,8,
when will the final open,8,8,9,9,
when is assignment 1 due,9,9,10,10,
when will project 1 need to be submitted,10,10,11,11,
when will i need to submit assignment 2,11,11,12,12,
when is the midterm due,12,12,13,13,
when should we have project 2 completed by,13,13,14,14,
when do I need to turn in assignment 3,14,14,15,15,
when will submissions close for project 3,15,15,16,16,
when do I need to turn in the final,16,16,17,17,
how much time is there for submitting assignment 1,17,17,18,18,
how long do we have to complete project 1,18,18,19,19,
how long do we have to finish assignment 2,19,19,20,20,
how long do we have to complete the midterm,20,20,21,21,
how long do we have to do project 2,21,21,22,22,
how many weeks to write assignment 3,22,22,23,23,
How many weeks to code project 3,23,23,24,24,
How many days to complete the final,24,24,25,25,
what percentage of my grade is assignment 1 worth,25,25,26,26,
how much is project 1 worth,26,26,27,27,
what is the weight of assignment 2,27,27,28,28,
how much will the midterm be worth,28,28,29,29,
what percentage of the total grade is project 2,29,29,30,30,
how much does assignment 3 contribute to my grade,30,30,31,31,
how much is project 3 contributing to my grade,31,31,32,32,
how much is the final worth,32,32,33,33,
what is the process for submitting assignment 1,33,33,34,34,
what is the process of getting project 1,34,34,35,35,
where do i turn in assignment 2,35,35,36,36,
where do i turn in my midterm,36,36,37,37,
How do I turn in project 2,37,37,38,38,
where do i submit assignment 3,38,38,39,39,
where do i submit project 3,39,39,40,40,
what is the procedure for submitting the final,40,40,41,41,
where do i go to get class announcements,41,41,42,42,
what are the primary learning goals for the class,42,42,43,43,
how do I know where announcements are released,41,41,44,44,
how do I know where are announcements released,41,41,45,45,
how frequently must I log into piazza,41,41,46,46,
what will we use piazza for,41,41,47,47,
what will be the class forum,41,41,48,48,
what file must we submit for the second project,37,37,49,49,
when is the second midterm due,0,0,50,50,
where can I question the learning goals,41,41,51,51,
What weight is the first final contributing to grade,32,32,52,52,
where can I question the learning goals,41,41,53,53,
where are my questions answered,41,41,54,54,
what should I know after the class,42,42,55,55,
what percentage of learning goals is ai skills,42,42,56,56,
what file do we download at canvas,0,0,57,57,
what file do we download at piazza,0,0,58,58,
how do I know how much projects are worth,0,0,59,59,
when is assignment 1 of knowledge-based ai released,1,1,60,60,
when is assignment 1 of knowledge-based artificial intelligence released,1,1,61,61,
when is the midterm of knowledge-based ai class released,4,4,62,62,
when is the final of the knowledge-based ai class,8,8,63,63,
when is the final of knowledge-based ai class released,8,8,64,64,
when is the final of knowledge-based ai class due,16,16,65,65,
when is the final of knowledge-based artificial intelligence,8,8,66,66,
when is the final of knowledge-based artificial intelligence released,8,8,67,67,
when is the final of knowledge-based artificial intelligence due,16,16,68,68,
what is at the start of week 2,1,1,69,69,
what is due at the end of week 7,12,12,70,70,
what is due at the start of week 8,12,12,71,71,
what is released at the end of week 7,5,5,72,72,
what is released at the start of week 8,5,5,73,73,
what is due at the end of week 10,13,13,74,74,
what is released at the end of week 10,6,6,75,75,
what is at the end of week 2,9,9,76,76,
what is at the start of week 4,2,0,77,76,
what is at the end of week 4,2,0,78,76,
What percentage has the project released week 3,26,26,79,77,
What percentage is the project released week 3 worth,26,26,80,78,
What percentage has the project due week 6,0,0,81,79,
What percentage has the project released week 4,26,26,82,80,


count,match,
82,80,

