question,answer,studentAnswer,count,# correct,
is this a 16 week class,no,no,1,1,
does project 1 begin on week 3,yes,yes,2,2,
is project 1 due on week 6,yes,yes,3,3,
do I submit projects to canvas,yes,yes,4,4,
can I get assignment 1 in week 6,yes,yes,5,5,
do I have 1 week to complete assignment 1,yes,yes,6,6,
is there a midterm,yes,yes,7,7,
is the final during week 9,yes,yes,8,8,
do I need to check piazza everyday,idk,idk,9,9,
do I turn in my project as a pdf,no,no,10,10,
do I turn in my assignments as zip files,no,no,11,11,
are there 2 projects,no,no,12,12,
is the midterm after assignment 1,yes,yes,13,13,
will I have 3 weeks to finish project 1,yes,yes,14,14,
can I have 4 weeks to finish project 1,no,no,15,15,
can I start project 1 in week 2,no,no,16,16,
do I need to check Piazza daily,idk,idk,17,17,
will I learn human cognition,idk,idk,18,18,
is project 1 worth 15%,idk,idk,19,19,
is assignment 1 worth 20%,idk,idk,20,20,
does this class teach knowledge-based AI,idk,idk,21,21,
are projects distributed on Canvas,idk,idk,22,22,
does this class have projects and assignments,yes,idk,23,22,
is there a final in this class,yes,yes,24,23,
are there many projects,no,no,25,24,
can I submit projects to Piazza,no,no,26,25,
should I code my projects in Python,idk,idk,27,26,
does project 1 contribute 15% to my grade,idk,idk,28,27,
do I need to write a report for project 1,idk,idk,29,28,
do I need to check Piazza regularly,idk,idk,30,29,
if I turn in project 1 late do I get credit,idk,idk,31,30,
is Piazza the preferred method of collaboration,idk,idk,32,31,


count,match,
32,31,

